Name,Username
DQ,diariodequixada
Zé Carlos ⭐️,depzecarlospt
Juliana Drumond,drumondjuliana
g1 maranhão,g1maranhao
Blog Gustavo Negreiros,bloggustavonegreiros
zoe yasmine,teknokuen
Eric Lins,deputadoericlins
𝗣𝗢𝗥𝗧𝗔𝗟 𝗣𝗟𝗨𝗥𝗔𝗟®,portalplural
Giovani Cherini,deputadogiovanicherini
Vaquejada / Abre A Porteira,programaabreaporteira
Talíria Petrone,taliriapetrone
Paulinho De Nalva,paulinhodenalva
César Romário  🤓,cesarromarioalves
Blog do Portari,blogdoportari
Marco Maia,depmarcomaia
Seu Pereira,seupereira.modulolunar
Rogério Correia,rogeriocorreia_
originários do brasil,originarios_do_brasil
ECOVILLE SÃO VICENTE,ecovillesao
Diário Conservador,dcitaunense
Rodrigo Valadares,rodrigovaladares_
Lisa Ianof.,lisaianof
Divaldo Lara,divaldo.lara
Somos São Paulinos,somospfc
Dr. Batista,drbatistaoficial
carol_delgado,carol_delgado
Alex Braz,alexbrazrio
Maria Bertoche,mariabertoche
Rogerio Almeida,rocejoal
Deputado Rafael,deputadorafael
Augusto Cruz - Fisioterapia,augustocruzfisioterapia
Ivoneide Caetano,ivoneidecaetanooficial
Portal SRN,portalsrn
𝐂APITÃO BRAZ,capitao_braz
Bruno Leandro,brunoleandrs
RODRIGO ALVES,rodrigopalpitex
Mohpaiz,m0hpaiz
Júlio César Filho,julinhodeputado
Rui Costa,ruicostaoficial
Zequinha Marinho,zequinhamarinhooficial
Vereador Eduardo Sallum,oeduardosallum
JOVENS DE ESQUERDA,jde_jovens_de_esquerda
POLITIZANDO,politi_zando
Mattos Nascimento,mattosnascimento
PORTAL PREÁ       Divulgações 📢,portalprea
Guto Requena,gutorequena
iBahia,portalibahia
Leandro Grass,leandrograss
Fabiano Horta,fabianohorta_oficial
A. F. Propagandas ®,abraaoferreirapropagandas
Marilza Mello Santana,deliciassarabelle
Paulo Pinheiro,paulopinheirorj
Evandro,fiotioficial
ANDERSON BAQUEIRO,andersonbaqueiro
Arthur Gimenes Prado,arthurgimenes13
Luiz Rocha,luizrochabh
Homem Aranha De Rio Das Ostras,homemaranhaderiodasostras
Jéssica Marques,jessicamarquespsol
Sanderson,deputadosanderson
Lu Rufino,lu_rufino_sobre_rodas
F B G,fbg.news
Barra do Corda em Alerta,alerta.barra_oficial
RP50,portalrp50
Bp Guaracy Santos,bpguarasantos
Guilherme Saraiva,drguilhermesaraiva
Herman Guedes - Novo 30,herman.guedes.novo
Clique Piripiri,cliquepiripiri
Direita Minas SGS,direitaminassgs
Áureo Cisneiros,aureo_cisneiros
Direita Sorocabana,direita.sorocabana
PETRAS,petrasvinicius
Brasil plural,brasil.plural
Rodrigo - O Criador da Pipa  Raio ⚡,piparaiz_toperson
Robson Ferreira,robson_ferreirasilvaa
Natália Bonavides,nataliabonavides
Max Maciel,maxmacieldf
Maria José Dourado,beijoseucoracao
lula_livre_,lula_livre_
Igor Dos Santos 🇧🇷🇵🇹,igordossantos.sc
Bispo Rodovalho,bprodovalho
capixabas027,capixabas027
Fora Lula,foralula.fora
,hquepb
Dra. Ana Lúcia Tourinho,altourinho
Brechó ANDREA VENTURO Oficial,brechoandreaventuro
👸❤️𝐑𝐚𝐢𝐧𝐡𝐚 𝐗𝐮𝐱𝐚  𝐓𝐞 𝐀𝐦𝐨 | 𝑭𝑨𝑵 𝑨𝑪𝑪𝑶𝑼𝑵𝑻,xuxa_rainha_do_coracao
Rádio Nova Líder FM 🎙📻🎧,novaliderfm
menino.maquiado,menino.maquiado2
Helder da Bet,helderdabet
Jornal Expresso,jornalexpressorbs
Allan Dauster 🍀🐚,allandaustter
UPBET | Apostas e Cassino,upbet.ofc
Xuxa Xou,xuxaxou
ＤＩＲＥＩＴＡ ＣＲＵＺＥＩＲＯ ➡️ 🔵⚪🔴,direitacrz
Indira Xavier,indiraxavier.up
Felipe Lintz,lintzfelipe
Apoio o Deputado Ricardo Arruda,deputadoricardoarrudapr
DEFENSOR JÚNIOR SOUZA ⭐⭐⭐,defensorjuniorsouza
Cezinha De Madureira,cezinhademadureira
Fuxiquei,fuxiquei
Sylvio Pinguelli,sylviopinguelli
Alice Rabelo,alicerabelo
Luciana Viegas,umamaepretaautistafalando
Aree Vanessa | Vida ReaL,areevanessa
Bia Kicis 🧿,biakicis
Deus é Vida!,vivapradeus
🇧🇷 🌵 ✊🏾   ♀️  🏳️‍🌈 🏹 🌱,etempoderesistencia
Lindaura Moreira,lindauramoreiraoficial
Graça Marques,gracinha.contos
Deya Marques,deyamarques
Fernando Sirchia,fernando.sirchia
Tripalium ✊,resistenciatripalium
Pedro Henrique,ph_natal
Estado de Minas,estadodeminas
Serginho Monteiro,serginhomonteiro.rj
Dandara Tonantzin,todandara
Gabryel de Castro,mundobygabryel
O Popular,jornal_opopular
O OTIMISTA,ootimista
Guilherme Santos,guilherme_santos
União da Juventude Socialista,ujs_brasil
Ana Mielke | ✊🏾💜🌻,anacmielke
Mauricio do Vôlei 🏐,mauriciodovolei
Marcelo Crivella,mcrivella
Portal Nazaré Dos Patos,nazaredospatosoficial
"Qualidade,estilo e atemporalidade.  👑",seja_store
Real Nunes Moments,realnunesmoments
GAROTO BABADOS - A FAZENDA 👨‍🌾🌾🚜,garotobabados
Manoel Ferreira,manoelferreira.pe
Rafael Eduardo Passos Arantes,arantesrafael
Brasil Conservador/Mito-Mjs,brasilconservador.mito.22
Inspirações de looks,looks_inspirations
Venê Casagrande,venecasagrande
Firmino Paulo,firminopaulo
BO Paragominas,boparagominas
PCdoB de Jaboatão - PE,pcdob_jaboatao
Rafaelle Firmino,rafaellefirminooficial
Alexandre Padilha,padilhando
Dudu,oeduardovictor
Ariane Santos ACS,arianeluzsantos
𝕴𝖌𝖔𝖗 𝕵𝖔𝖘𝖊́ 𝕺𝖌𝖆𝖗,igorjoseogar
Rubi Semijoias,rubisemijoia
OraculistaDonJulio,oraculistadonjulio
Direita Timbauba PE,direitatimbaubape
Gracinha Garcez,gracinhagarcez
Jordana,jordanaaraaujo
Fernando Pimentel,pimentel_minas
José Guimarães,dep_guimaraes
Prudente Imprudente,prudente.imprudente
Helil Lourenço,helil
Restitui Brasil,restituibr
Capitão Contar,capitaocontar
Dinho PT 🚩 #LulaPresidenteEleito 🇧🇷,dinho_pt
Jeisael,jeisael_
Sofia Cavedon,sofiacavedonoficial
Igor Vilcinskas Dalpino Jr.,igorjroficial
ℙ𝗶𝗺𝗲𝗻𝘁𝗮 ℕ𝗲𝗹𝗮𝘀,pimenta_nelas
Virgínia fonseca costa,virginiafonseca.7
APRONTEI,aprontei
Diego Spears,diegospearsoficial
Luã Bandeira,luabandeiraa
tv jornal | SBT,tvjornalsbt
Vanessa Bumagny,vanessabumagny
Marcos Rogério,marcosrogeriooficial
🖤 Ana Paula Rocker 🤘🏼,anapaularocker
Thiago Amud,thiagoamud.oficial
Roberto Requião 13,robertorequiaooficial
Ned Oliveira,nedoliveira1
Rafael Santos,rafabolsonaroteresopolis
Paulo Queiroz,prpauloqueiroz
Alex Brollo,alexbrollo
Maria Eunice,sigamariaeunice
Diego Moreau,diegomoreau
Professor Adelino,professor_adelino
Hora Noticias,horanoticiasbr
Nilmário Miranda,nilmariomiranda
𝘝𝘦𝘳𝘦𝘢𝘥𝘰𝘳 𝘔𝘢𝘳𝘤𝘰𝘴 𝘥𝘢 𝘗𝘳𝘦𝘴𝘵𝘢𝘤̧𝘢̃𝘰 🇧🇷,marcosdaprestacaooficial
Arlete Sampaio,arletesampaio
Janete Melo,janete.li.melo
Wanderley Gomes,wanderleygomes2021
Symmy Larrat,symmylarrat_ofc
Duda Hidalgo,dudahidalgo13
Poder360,poder360
"""Talkei"" Bolsonaro 🇧🇷",talkeibolsonaro
Tião Bocalom,bocalom.oficial
Bolsonarista Opressora,bolsonaristaopressora
Heroina1313,heroina1313
Paulo Carrano,paulo_carrano
Guilherme Silva RS,guilhermersilvabr
Camasi Guimaraes,camasiguimaraes
Douglas Belchior,negrobelchior
Cris Machado,plantao_materno
Sthafler ✨,sthafler
Luciana Brasil,mulheres_arretadass
Celso Giannazi,celsogiannazi
Rolê das Eleições,roledaseleicoes
EFRAIM SENADOR 🚀,efraimfilhopb
APOCALIPSE O FIM,apocalipse.ofim_
Despertando Leões 🦁💥,despertandoleoesoficial
Rosilene Corrêa Lima,rosilenecorreadf
Renato Zaca,deputadorenatozaca
Fábio Alves,fabioalvesoficial33
Pará Figueiredo,depparafigueiredo
Uma outra Opinião,umaoutraopiniao
RAFAEL QUEIROZ,rafaelxqueiroz
Simão Pedro,simaopedrochiovetti
Coleção de Protesto,colecao_de_protesto
Rádio 92.3 FM,92naweb
Leo Gattuso,leogattuso_
D.J. Bruno Oliver,djbrunooliver_official
Vem Bicicletar,vem.bicicletar
Anginha Vieira,vieiraanginha
Bruno Engler,brunoenglerdm
SANTISTA CABULOSO | Oficial,santistacabuloso
Sobre Funk,sobrefunk
DIREITA MINAS - SAMONTE,direitaminassamonte
BFC - Brasil Fede Covid 🇧🇷🦠,brasilfedecovid
PT Ceará,ptceara
DM São Lourenço 🔺,direitaminassaolourenco
Janilson Silva,janilsonsilvaof
Amazonas News Ofical,amazonasnewsoficial
Direita Minas - Cach. de Minas,direitaminascachoeirademinas
Alex Brasil,alexanderbrasiloficial
Maria Do Carmo Martins Lima,mariadocarmo.stm
Erika Hilton,hilton_erika
MK Music,mkmusicbrasil
Paula Nunes,paulabancadafeminista
Daniel Freitas,danielcfreitas
Estado do Pará Online | Belém do Pará,estadodoparaonline
Conexão Direita,conexaodireitaoficial
Paulo Márcio,paulo.marcio.792
Leonardo Filho,leonardofilho_oficial
DIREITA RAIZ,direita_raiz_se
Ac24horas,ac24horas
Henrique Figueira 🇧🇷,henriquefigueiramusic
Odair Cunha,odaircunhamg
Vereador Jonas Reis,vereadorjonasreis
Ivan Valente,ivanvalentepsol
NOTICIEI AGORA,noticieiagora
Fora Lula 🚫,tropadadireita_
Coronel Marcos Rocha,celmarcosrocha
Pedro Ronchi | Reflexões Sociais,pedroronchi2
"Melania Amorim, MD, PhD",melania44
FOFO QUICE,fofo.quice
Rafaela Albergaria🚂,rafaalbergaria
Bira do Pindaré,biradopindare
JAQUELINE FERREIRA 🎙️,jacqueferreiraoficial
Roberta Botion,robertabotion
Eduardo Suplicy,eduardosuplicy
Pedro Matos,pedrinmatos
Hayden Music 🎧,haydentv
Paulinho Galileu II,estilogalileuprograma
Jailson Oliveira,jailsonoliveirarj
Guto Senra,gutosenra
Evangélicos com Lula,evangelicoscomlula
Ap Agenor Duque,apostoloagenorduque
Movimento Jovem da Democracia,mjd_brasil
Larissa Gaspar,larissagaspar_oficial
Minutos de Valor,minutosdevalor
Danilo Balas,agentefederaldanilobalas
Maria Fernanda Cid Loureiro,fernandacid_
Vila Cruzeiro RJ Oficial,vilacruzeirorjoficial
iPolítica Bahia,ipoliticabahia
Soberanos,soberanos
Rosenverg Reis,rosenvergreis
Claudio Donizete,claudiodonizeteoficial
Leonardo Monteiro,depleomonteiro
Padre Pedro Baldissera,padre.pedrobaldissera
JORNAL DIAMANTINA,jornaldiamantinaoficial
Salvino Oliveira,salvino.oliveira
Maria Ribeiro,mariaaribeiro
Camilo S. Santana,camilosantanaoficial
Daniel Silveira Info,danielsilveirainfo
Mario Alexandre,marioalexandreoficial
Corridas em Sergipe,corridasemsergipe
Prof. Cintia Secario,cintiasecario13
FILIPE SABARÁ,filipesabara
Jose Roberto Mendonça,robertinhomendoncavereador
Correio Braziliense,correio.braziliense
FUXICADAX,fuxicadax
Leonel Guterres Radde,leonelradde
Vinicius Aith,viniciusaith
342 Artes,342artes
Fabio Jesus,fabiojesusrp34
Primeira Hora,primeira_hora
Agostinho Freitas,_revolucao_preta_
Caíque Mafra,caiquemafra
Gal Costa,galcosta_sublime
Danilo Cabral,danilocabralpe
Frente de Evangélicos,frentedeevangelicos
Fernanda Melchionna,fernandapsol
José Ricardo Rodrigues Barbosa,dep.ricardorodrigues
Design Ativista,designativista
Petra Perón,petraperon
São Gonçalo Informa,informasaogoncalo
CARLOS MAIA 🇧🇷🇺🇸,pastorcarlosmaia
Sylvio Augusto,sylvioaugustojr
Fora Lula!,fiuzaopressor
Santa Helena Mil Grau,shegomilgrau
Valdeci Oliveira,valdeci13rs
Dan Maia,danmaia
Deputado João Daniel,deputadojoaodaniel
DireitaSergipe,direita_sergipe
Ronilson José Paz,ronilson.paz
Messias Bolsonaro 2026 🇧🇷,messiasbolsonaro.22
